Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
SRR11878619_GSM4579144_mESC_DMSO_ATAC_rep1_Mus_musculus_ATAC-seq_1 - nextera_transposase_sequence	(1, 0.021129477408536736)	(2, 0.021156293956246068)	(3, 0.021158256142663825)	(4, 0.021183110503955403)	(5, 0.021187688938930166)	(6, 0.021190959249626426)	(7, 0.021203386430272215)	(8, 0.021211235175943238)	(9, 0.021245900469323595)	(10, 0.02132929339207823)	(12, 0.02138685086033241)	(14, 0.021477111435549187)	(16, 0.02171322786781917)	(18, 0.022987340915082116)	(20, 0.027835249491218142)	(22, 0.03696072445806242)	(24, 0.042863962295881596)	(26, 0.07435116774161343)	(28, 0.1661242616554135)	(30, 0.2605194906854749)	(32, 0.3514060033695188)	(34, 0.4827691515411745)	(36, 0.8783845230270164)	(38, 1.7623884209234162)	(40, 3.5041140377746527)	(42, 6.317763126843998)	(44, 8.718097268877202)	(46, 11.04583116751557)	(48, 13.288524233839459)	(50, 15.576616080279901)	(52, 18.25653169998494)	(54, 20.50040632956339)	(56, 22.43424438608001)	(58, 24.208332343519295)	(60, 25.860486112586386)	(62, 27.59766468944554)	(64, 29.238498278037525)	(66, 30.777817498244758)	(68, 32.254709103508944)	(70, 33.64036067550282)	(72, 35.01970512628789)	(74, 36.37434107163843)	(76, 37.66600947374998)	(78, 38.90443067710501)	(80, 40.08561392156089)	(82, 41.25338104341644)	(84, 42.40151877937981)	(86, 43.483850015388775)	(88, 44.52645155487315)	(90, 45.29265133977565)														
SRR11878619_GSM4579144_mESC_DMSO_ATAC_rep1_Mus_musculus_ATAC-seq_1 - polya	(1, 0.00037216135723440344)	(2, 0.0006017371681118649)	(3, 0.000773101448595896)	(4, 0.0009869797681313088)	(5, 0.0014284717121264272)	(6, 0.0017914761994113023)	(7, 0.0021073882126700313)	(8, 0.0024736630106511667)	(9, 0.002911884643950025)	(10, 0.004606559646752027)	(12, 0.007786609767795383)	(14, 0.01353745112716883)	(16, 0.02054245663855804)	(18, 0.026929373428354088)	(20, 0.032176259909433846)	(22, 0.037782226504962976)	(24, 0.043629542029876095)	(26, 0.049574966875677015)	(28, 0.05484016709665584)	(30, 0.060168811345142105)	(32, 0.06608120605291079)	(34, 0.07254006967802457)	(36, 0.07741577589507881)	(38, 0.08225910603624007)	(40, 0.08708739274819853)	(42, 0.09208508155422326)	(44, 0.09615531024678864)	(46, 0.10024777705208857)	(48, 0.10485270154349247)	(50, 0.10867732990276868)	(52, 0.11238390004590992)	(54, 0.11656237602252151)	(56, 0.12095440328759886)	(58, 0.1248179483441606)	(60, 0.12866056341226625)	(62, 0.1321336333716945)	(64, 0.13566066345761107)	(66, 0.13876157205980494)	(68, 0.14177287414892126)	(70, 0.14495717567386976)	(72, 0.1482379513643579)	(74, 0.151613239033968)	(76, 0.1544028140578779)	(78, 0.15737421835649987)	(80, 0.1600902113897439)	(82, 0.16258774766847778)	(84, 0.16570010235810856)	(86, 0.16879283518356175)	(88, 0.17153597179558475)	(90, 0.1732950719191031)														
SRR11878619_GSM4579144_mESC_DMSO_ATAC_rep1_Mus_musculus_ATAC-seq_2 - nextera_transposase_sequence	(1, 0.0211190124143087)	(2, 0.02114713708629654)	(3, 0.021153023645549808)	(4, 0.021178532068980637)	(5, 0.02118245644181615)	(6, 0.02118572675251241)	(7, 0.02119880799529745)	(8, 0.021207964865246978)	(9, 0.02125374921499462)	(10, 0.02134139354165439)	(12, 0.02140385647595296)	(14, 0.021515701101765056)	(16, 0.02174429581943364)	(18, 0.022998459971449402)	(20, 0.0276851422302598)	(22, 0.03656240061525794)	(24, 0.0422203651508576)	(26, 0.07338675311728632)	(28, 0.16453619878130957)	(30, 0.25821490273782044)	(32, 0.34835087911707263)	(34, 0.4786184732054811)	(36, 0.8717971361915395)	(38, 1.7506287106907346)	(40, 3.483500615393986)	(42, 6.2831638937397045)	(44, 8.672652377379832)	(46, 10.990651542168642)	(48, 13.224155362467108)	(50, 15.504202898656892)	(52, 18.175788709987486)	(54, 20.41377351000197)	(56, 22.344032865523673)	(58, 24.115513731275904)	(60, 25.765387439725558)	(62, 27.50029740205472)	(64, 29.138684798245897)	(66, 30.67590218976865)	(68, 32.14990251334627)	(70, 33.532513350454764)	(72, 34.90801485914065)	(74, 36.257939921933236)	(76, 37.544696971441134)	(78, 38.77821924937317)	(80, 39.954426389073625)	(82, 41.1179574774843)	(84, 42.2625819186667)	(86, 43.34127591511927)	(88, 44.37966823770648)	(90, 45.14224975085465)														
SRR11878619_GSM4579144_mESC_DMSO_ATAC_rep1_Mus_musculus_ATAC-seq_2 - polya	(1, 0.0019602242313383252)	(2, 0.0024174136666754924)	(3, 0.0027843425267958795)	(4, 0.003143422641245242)	(5, 0.003822993203928098)	(6, 0.0044515469197492965)	(7, 0.00491396885220048)	(8, 0.005474500105539467)	(9, 0.006099129448525153)	(10, 0.008086497258642437)	(12, 0.011563818621975839)	(14, 0.017385952754527756)	(16, 0.02449658930140617)	(18, 0.030969515262513854)	(20, 0.036500264712028996)	(22, 0.042479373758001406)	(24, 0.04858766007647608)	(26, 0.05478424478374979)	(28, 0.06037222467044948)	(30, 0.06591442020740154)	(32, 0.07216267582367615)	(34, 0.07896001660585283)	(36, 0.08440083251122082)	(38, 0.08978343688619539)	(40, 0.09508264833841532)	(42, 0.10056139984785992)	(44, 0.10522126555896097)	(46, 0.1101558373685479)	(48, 0.11723900330557772)	(50, 0.12250126024692992)	(52, 0.1269060417237227)	(54, 0.13145373577794203)	(56, 0.13642362694304855)	(58, 0.14074076409318156)	(60, 0.14499216799831974)	(62, 0.14901039875081457)	(64, 0.1529671476622197)	(66, 0.15663970657411985)	(68, 0.1603063789267667)	(70, 0.16429321469657743)	(72, 0.1680756560478719)	(74, 0.17198465842311167)	(76, 0.1753004264380498)	(78, 0.17869926034467296)	(80, 0.18185609125977287)	(82, 0.18482553337197705)	(84, 0.18823712149031563)	(86, 0.1915443866974435)	(88, 0.1946861741833406)	(90, 0.1967098424421864)														
SRR11878619_GSM4579144_mESC_DMSO_ATAC_rep1_Mus_musculus_ATAC-seq_2 - polyg	(1, 0.07045949801306386)	(2, 0.07073420411154972)	(3, 0.0716969835805287)	(4, 0.07244326848141527)	(5, 0.07366963499251282)	(6, 0.07472005878815158)	(7, 0.075177902285628)	(8, 0.07568741669210532)	(9, 0.0761825417315191)	(10, 0.0774622143069657)	(12, 0.0788726993102627)	(14, 0.07999114556838366)	(16, 0.08092024083719117)	(18, 0.08184541173316315)	(20, 0.08278987746224309)	(22, 0.0837657381740071)	(24, 0.08472590139442909)	(26, 0.08568312133522443)	(28, 0.08658245677669596)	(30, 0.08753509828251654)	(32, 0.08839388187135445)	(34, 0.08926345748549003)	(36, 0.09007449453816255)	(38, 0.09089828580255047)	(40, 0.09169983895420383)	(42, 0.09250629757190157)	(44, 0.09570825877460987)	(46, 0.09691042498655511)	(48, 0.1001614408497073)	(50, 0.10480266578983968)	(52, 0.11077883155618545)	(54, 0.11283945432589897)	(56, 0.11530069015590434)	(58, 0.11682694415784894)	(60, 0.11840879344162997)	(62, 0.12026567585496648)	(64, 0.12302189370977452)	(66, 0.12634583750145334)	(68, 0.1306564340301938)	(70, 0.14824351089254156)	(72, 0.1702831157678475)	(74, 0.19594884114316669)	(76, 0.23648499628545028)	(78, 0.31677897262430765)	(80, 0.5088318926350196)	(82, 0.8613789074064636)	(84, 1.6144503570499056)	(86, 2.6241087487665697)	(88, 3.7225148699719237)	(90, 4.735518462499792)														
SRR11878620_GSM4579145_mESC_DMSO_ATAC_rep2_Mus_musculus_ATAC-seq_1 - nextera_transposase_sequence	(1, 0.026963745499463027)	(2, 0.027008391352577606)	(3, 0.027016028143241944)	(4, 0.027044812969592134)	(5, 0.027047750196770724)	(6, 0.027050687423949313)	(7, 0.02706126144179224)	(8, 0.02706831078702086)	(9, 0.02710884452208541)	(10, 0.027206360464414624)	(12, 0.027256293326450666)	(14, 0.027354984159651315)	(16, 0.02761639737854589)	(18, 0.028792169418135765)	(20, 0.03266343483951836)	(22, 0.03987227150393363)	(24, 0.04476157986541578)	(26, 0.0762562920105729)	(28, 0.16891699781357508)	(30, 0.2707268725551696)	(32, 0.37558441421726985)	(34, 0.5306003969627285)	(36, 0.9299675396450475)	(38, 1.794688689635752)	(40, 3.420980564391257)	(42, 5.96254649983091)	(44, 8.44846549148129)	(46, 10.844648374430388)	(48, 13.162063636131222)	(50, 15.51950713609917)	(52, 18.205092075727638)	(54, 20.603931680659773)	(56, 22.664181835134425)	(58, 24.528491326861598)	(60, 26.26699849736157)	(62, 28.0484867006113)	(64, 29.80468860880326)	(66, 31.45398719660323)	(68, 33.020273576159155)	(70, 34.508060209585494)	(72, 35.974249411567655)	(74, 37.46722289446867)	(76, 38.9045459089078)	(78, 40.25180325775621)	(80, 41.54808091680212)	(82, 42.81332265858818)	(84, 44.077833030806765)	(86, 45.28690324002946)	(88, 46.42352791578307)	(90, 47.26290725712233)														
SRR11878620_GSM4579145_mESC_DMSO_ATAC_rep2_Mus_musculus_ATAC-seq_1 - polya	(1, 0.00030782140831630997)	(2, 0.00047641824836741864)	(3, 0.000603893907918257)	(4, 0.0007813024295051378)	(5, 0.0011748908714362975)	(6, 0.0015062100971813333)	(7, 0.0017511748438758014)	(8, 0.002093068087463764)	(9, 0.002555975090809665)	(10, 0.004063360078862435)	(12, 0.0068734053206202)	(14, 0.012044393768529203)	(16, 0.018403784332896023)	(18, 0.024105236009258516)	(20, 0.02856629664810214)	(22, 0.03331961139121554)	(24, 0.038369292356648745)	(26, 0.043328506724981355)	(28, 0.047556645248562734)	(30, 0.05193634469455939)	(32, 0.05702039121798211)	(34, 0.06259612957110092)	(36, 0.06669591126697788)	(38, 0.07074487893266522)	(40, 0.07470984190104486)	(42, 0.07896294685564426)	(44, 0.08240332104992759)	(46, 0.08573384294773165)	(48, 0.08956809930666401)	(50, 0.09276791459502076)	(52, 0.09580765100214432)	(54, 0.09923157672422755)	(56, 0.10291691566520536)	(58, 0.1062116033914306)	(60, 0.10925486447116846)	(62, 0.11211660491126943)	(64, 0.11502534098622783)	(66, 0.11769087465079893)	(68, 0.12020455367023689)	(70, 0.12290327800192608)	(72, 0.12573447127936968)	(74, 0.12859239332413847)	(76, 0.13093806294896104)	(78, 0.13347406489495628)	(80, 0.1357160504003746)	(82, 0.13778121482964176)	(84, 0.1403871227824875)	(86, 0.14302563395701554)	(88, 0.1453025724658591)	(90, 0.14683139921231556)														
SRR11878620_GSM4579145_mESC_DMSO_ATAC_rep2_Mus_musculus_ATAC-seq_2 - nextera_transposase_sequence	(1, 0.027023664933906278)	(2, 0.02707124801419945)	(3, 0.02707712246855663)	(4, 0.027108257076649694)	(5, 0.027114131531006874)	(6, 0.027117068758185463)	(7, 0.02712823022146411)	(8, 0.02713821679387132)	(9, 0.027179925419807308)	(10, 0.027281259757468687)	(12, 0.0273350110148369)	(14, 0.027465423901566328)	(16, 0.027723899893282312)	(18, 0.028877936451750616)	(20, 0.03262113876814666)	(22, 0.03964962968379645)	(24, 0.04430836571175923)	(26, 0.07561157064487223)	(28, 0.1680320112646657)	(30, 0.2696406859445267)	(32, 0.3742415139512182)	(34, 0.5287481815039092)	(36, 0.9272391493188548)	(38, 1.7900607944931641)	(40, 3.4129528287894506)	(42, 5.948929808353681)	(44, 8.430061119702957)	(46, 10.82244323068296)	(48, 13.136905110455722)	(50, 15.492492870292235)	(52, 18.177446306077307)	(54, 20.577323927094355)	(56, 22.640289254372895)	(58, 24.50820536735266)	(60, 26.250463083236976)	(62, 28.036068397822937)	(64, 29.796863541876775)	(66, 31.45056062737669)	(68, 33.02007619449275)	(70, 34.51106029342571)	(72, 35.97966800826672)	(74, 37.47410364285723)	(76, 38.91244910607723)	(78, 40.260648423681815)	(80, 41.55767977522176)	(82, 42.82378506179832)	(84, 44.0900007881168)	(86, 45.30038922489723)	(88, 46.43777992949903)	(90, 47.277216840490986)														
SRR11878620_GSM4579145_mESC_DMSO_ATAC_rep2_Mus_musculus_ATAC-seq_2 - polya	(1, 0.0017958206969903808)	(2, 0.0022164316289645753)	(3, 0.0025683114449597463)	(4, 0.0028720207352260292)	(5, 0.003543470868251873)	(6, 0.0041409028763772305)	(7, 0.004543302999844162)	(8, 0.005037932056718843)	(9, 0.0055813190847581315)	(10, 0.0073457114509375915)	(12, 0.010515567022072722)	(14, 0.015953255697797767)	(16, 0.022411337095365233)	(18, 0.028277273493728806)	(20, 0.03301854560540998)	(22, 0.038144594477486554)	(24, 0.04329619722601686)	(26, 0.04851564992237261)	(28, 0.05329686832368262)	(30, 0.05813095681420727)	(32, 0.06368907180425454)	(34, 0.06949596993632842)	(36, 0.07413678887850181)	(38, 0.07874794182617142)	(40, 0.08316465033461831)	(42, 0.0880974296583436)	(44, 0.09229766452372838)	(46, 0.0966955747782323)	(48, 0.10308081294177071)	(50, 0.10782032271714474)	(52, 0.11170862405616316)	(54, 0.11578667027091856)	(56, 0.12027504712252307)	(58, 0.12407200069628732)	(60, 0.12771856823850775)	(62, 0.13121298741287712)	(64, 0.13475029010405398)	(66, 0.13791808961616409)	(68, 0.14123421910079303)	(70, 0.1447160081982945)	(72, 0.14818281743718517)	(74, 0.15163787776736146)	(76, 0.15451636040238037)	(78, 0.15750998234280006)	(80, 0.16031474057563638)	(82, 0.16299114198076825)	(84, 0.16609667227669225)	(86, 0.16908001392198688)	(88, 0.1718342518473514)	(90, 0.17362302319911319)														
SRR11878620_GSM4579145_mESC_DMSO_ATAC_rep2_Mus_musculus_ATAC-seq_2 - polyg	(1, 0.06843093136137143)	(2, 0.0686794207806802)	(3, 0.06936966916764903)	(4, 0.06994007868573135)	(5, 0.07081361004864424)	(6, 0.07162310985906385)	(7, 0.07200377450140921)	(8, 0.07238150191657598)	(9, 0.07276275400435706)	(10, 0.0737026667015061)	(12, 0.07479237798476326)	(14, 0.07561480159476867)	(16, 0.07634940211213423)	(18, 0.07710720672421062)	(20, 0.07789203382633009)	(22, 0.07868684750085672)	(24, 0.07948871052061202)	(26, 0.0802379971738705)	(28, 0.08095379943729306)	(30, 0.08179179035134501)	(32, 0.08254048955916779)	(34, 0.08322310115547227)	(36, 0.08390747508808391)	(38, 0.08462357107422434)	(40, 0.08530118938432522)	(42, 0.08596412155853315)	(44, 0.08665701344996271)	(46, 0.08746710070581803)	(48, 0.08990852393666265)	(50, 0.09253381758888707)	(52, 0.09750419342049832)	(54, 0.10068286067316923)	(56, 0.10237881564608753)	(58, 0.10344826006181242)	(60, 0.10447305862442273)	(62, 0.10554015325840474)	(64, 0.10668919653066944)	(66, 0.10810993331695379)	(68, 0.10983996012514374)	(70, 0.11254044679314007)	(72, 0.11603369107663804)	(74, 0.12165231294656427)	(76, 0.14096076325046625)	(78, 0.16950503069472894)	(80, 0.2068938766191641)	(82, 0.2558574536862718)	(84, 0.3340960803196756)	(86, 0.5249518153755807)	(88, 0.8799503791889793)	(90, 1.3073339695915684)														
